Age,Weight,Goal,Exercise,Title,Type,Equipment,Level,Rating,Desc
56,84.04502373969254,2,Holman Straight Plank with Alternating Diagonal Sit-Back,Holman Straight Plank with Alternating Diagonal Sit-Back,Strength,2,1,6.286607142857143,
46,78.62686239598452,2,Decline plate sit-up twist,Decline plate sit-up twist,Strength,9,1,6.286607142857143,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
32,104.03173864187715,1,Holman Weighted Cross Punch,Holman Weighted Cross Punch,Strength,9,1,6.286607142857143,
25,50.854215062263115,2,Tyler Holt Hip-Dip,Tyler Holt Hip-Dip,Strength,2,1,6.286607142857143,
38,91.89098908436588,2,Holman Alternating Rolling Elbow Plank,Holman Alternating Rolling Elbow Plank,Strength,2,1,6.286607142857143,
56,89.58558431260818,1,Single-leg V-up,Single-leg V-up,Strength,2,1,6.286607142857143,"The single-leg V-up is a bodyweight exercise that targets the abdominals and the hip flexors, working one side of the body at a time. It can be performed for time or reps in the ab-focused portion of any workout."
36,100.13253523130666,1,Pallof press,Pallof press,Strength,9,1,8.4,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body."
40,91.93205553441285,1,Single-arm bent-over rear delt fly,Single-arm bent-over rear delt fly,Strength,9,1,6.286607142857143,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout."
28,107.87591794663548,2,Lying bench reverse crunch,Lying bench reverse crunch,Strength,2,1,7.7,"The lying bench reverse crunch is a popular ab exercise performed by bringing the knees toward the chest while lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more."
28,117.13523561948195,0,Standing cable high-to-low twist,Standing cable high-to-low twist,Strength,3,1,6.286607142857143,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
41,73.97669800249804,0,Holman Traveling Stair Climb Push-Up,Holman Traveling Stair Climb Push-Up,Strength,2,1,6.286607142857143,
53,65.91456881209909,1,V-up plus knee-to-chest combo,V-up plus knee-to-chest combo,Strength,2,1,6.286607142857143,The V-up plus knee-to-chest combo is a core exercise that targets the abdominals and hip flexors by combining two movements into a single sequence. It can be performed for time or reps in the ab-focused portion of any workout.
57,79.6517803694338,0,Holman Straight-Legged Bicycle,Holman Straight-Legged Bicycle,Strength,2,1,6.286607142857143,
41,70.15507315330083,1,Taylor Exercise Ball Stir-The-Pot,Taylor Exercise Ball Stir-The-Pot,Strength,5,1,6.286607142857143,
20,93.04651842068581,2,Copenhagen plank,Copenhagen plank,Strength,2,1,6.286607142857143,"The Copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or feet-elevated side plank first."
39,113.82966861900752,0,Exercise Ball Cable Crunch - Gethin Variation,Exercise Ball Cable Crunch - Gethin Variation,Strength,3,1,6.286607142857143,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps."
39,113.82966861900752,0,Exercise Ball Cable Crunch - Gethin Variation,Exercise Ball Cable Crunch - Gethin Variation,Strength,3,1,6.286607142857143,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps."
19,59.73813359001433,2,Feet-elevated plank on ball,Feet-elevated plank on ball,Strength,5,1,6.286607142857143,"The feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. The feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. This makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout."
41,57.05562221111205,0,Holman Left Side Plank with Right Triceps Press,Holman Left Side Plank with Right Triceps Press,Strength,4,1,6.286607142857143,
47,67.92108722975635,2,Decline reverse crunch,Decline reverse crunch,Strength,9,1,9.2,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout."
55,100.82669102436805,0,30 Decline Press Sit-Up,30 Decline Press Sit-Up,Strength,9,1,6.286607142857143,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.
19,91.50740336811751,2,Shin hug,Shin hug,Strength,2,1,6.286607142857143,"The shin hug is a bodyweight exercise focused on the muscles of the core. It shares characteristics with V-ups and crunches, but finishes with the ribs touching the thighs. It can be performed for time or for reps as part of the ab-focused portion of any workout."
38,57.154886495763975,2,Holman Side-to-Side Twist,Holman Side-to-Side Twist,Strength,2,1,6.286607142857143,
50,114.31253655825225,0,Holman Straight-Leg Boat Hover Chest Press,Holman Straight-Leg Boat Hover Chest Press,Strength,9,1,6.286607142857143,
29,105.30592459868606,2,Elbow plank jack,Elbow plank jack,Strength,2,1,6.286607142857143,"The elbow plank jack is an isometric abdominal exercise with a dynamic lower-body component. It targets the muscles of the core, the deep core or transversus abdominis in particular. It can be performed for time or reps in the ab-focused portion of any workout."
39,51.61158233513463,2,UNS Inverted row,UNS Inverted row,Strength,2,1,6.286607142857143,
42,95.59570476917723,2,Holman Hovering Plank with Shoulder Tap,Holman Hovering Plank with Shoulder Tap,Strength,2,1,6.286607142857143,
44,103.98726679638166,0,Holman Feet-Elevated Alternating Single-Leg Hip Raise,Holman Feet-Elevated Alternating Single-Leg Hip Raise,Strength,2,1,6.286607142857143,
59,76.21047588042954,0,Holman Straight-Legged Bicycle,Holman Straight-Legged Bicycle,Strength,2,1,6.286607142857143,
45,54.82450775570531,2,AM Ab Machine,AM Ab Machine,Strength,7,1,6.286607142857143,
33,55.412474584215104,2,KV Barbell Hip Thrust,KV Barbell Hip Thrust,Strength,1,1,6.286607142857143,
32,57.297287623626666,0,Holman Towel Reverse Plank Jack,Holman Towel Reverse Plank Jack,Strength,2,1,6.286607142857143,
20,108.8307742386296,0,Holman Towel Burpee,Holman Towel Burpee,Strength,2,1,6.286607142857143,
54,113.74803387789991,2,MetaBurn Plank Up-Down,MetaBurn Plank Up-Down,Strength,2,1,6.286607142857143,
24,58.596754729201365,2,Holman Feet-Elevated Shoulder Tap,Holman Feet-Elevated Shoulder Tap,Strength,2,1,6.286607142857143,
38,66.51342242165569,2,Holman Weighted Split-Leg Pike,Holman Weighted Split-Leg Pike,Strength,9,1,6.286607142857143,
26,61.58643572571028,1,Frog kick,Frog kick,Strength,2,1,6.286607142857143,"The frog kick is an explosive bodyweight movement that involves hopping the rear legs up and forward from a straight-arm plank position. It targets the legs, core, and shoulders, but is also a high-intensity conditioning movement that will raise core body temperature and burn serious calories. It can be performed for time or reps as part of any athleticism-focused or fat-loss circuit or workout."
56,63.04246156458845,0,Dumbbell suitcase crunch,Dumbbell suitcase crunch,Strength,8,1,9.0,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training."
35,108.62435523017444,1,MetaBurn Plank Up-Down,MetaBurn Plank Up-Down,Strength,2,1,6.286607142857143,
21,73.25024888584572,0,Partner resistance standing twist,Partner resistance standing twist,Strength,2,1,0.0,"The partner resistance standing twist is a bodyweight exercise in which one partner performs bodyweight twists while the other provides manual resistance. It targets the muscles of the core, and the obliques in particular. It can be performed in the core-focused part of any workout."
42,71.80109848319489,0,FYR Rope Jumping,FYR Rope Jumping,Strength,9,1,6.286607142857143,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance."
31,65.91769346139789,0,MetaBurn Scapular Retraction Plank,MetaBurn Scapular Retraction Plank,Strength,2,1,6.286607142857143,
26,92.55260756559811,0,30 Hanging Oblique Crunch,30 Hanging Oblique Crunch,Strength,2,1,6.286607142857143,"The hanging oblique crunch an abdominal exercise that targets both the rectus abdominus or “six-pack” muscles, and the oblique muscles. It can be performed hanging from a bar, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulder, you can also perform them hanging with a neutral grip (palms facing one another)"
43,76.55139888698842,0,Side Bridge,Side Bridge,Strength,2,1,7.5,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout."
19,102.09747562903021,0,Feet-elevated bench side plank,Feet-elevated bench side plank,Strength,2,1,6.286607142857143,"The feet-elevated bench side plank is an advanced version of the side plank performed with the feet elevated on a bench. It targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but the body angle makes it more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank first."
37,64.39058658629463,0,UNS Lat stretch,UNS Lat stretch,Strength,2,1,6.286607142857143,
45,105.14529221001447,1,Holman Elbow Plank Pike,Holman Elbow Plank Pike,Strength,2,1,6.286607142857143,
24,92.26050722110972,2,Holman Froggy Push-Up,Holman Froggy Push-Up,Strength,2,1,6.286607142857143,
25,57.998711003898144,2,MetaBurn Plank With Dumbbell Rotation,MetaBurn Plank With Dumbbell Rotation,Strength,4,1,6.286607142857143,
52,79.01532089425393,1,FYR2 Fire Feet with Burpee Tuck Jump Drill,FYR2 Fire Feet with Burpee Tuck Jump Drill,Strength,2,1,6.286607142857143,
31,110.44626984290699,1,HM Sit-Up,HM Sit-Up,Strength,2,1,6.286607142857143,
34,114.60721622589394,1,Cable Judo Flip,Cable Judo Flip,Strength,3,0,5.0,
53,82.59900856231693,1,Dumbbell Fix Dumbbell Pull-Over,Dumbbell Fix Dumbbell Pull-Over,Strength,4,1,6.286607142857143,
57,83.65858846623516,0,Holman Squat Thrust to Alternating Knee-In,Holman Squat Thrust to Alternating Knee-In,Strength,2,1,6.286607142857143,
21,114.29183074575108,2,Barbell floor wiper,Barbell floor wiper,Strength,2,1,6.286607142857143,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles."
19,91.0947756895597,0,Weighted sit-up,Weighted sit-up,Strength,9,1,6.286607142857143,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
23,52.29926691704068,2,HM Air Jumping Rope,HM Air Jumping Rope,Strength,2,1,6.286607142857143,
59,113.89246240153902,2,Holman Weighted Split-Leg Pike,Holman Weighted Split-Leg Pike,Strength,9,1,6.286607142857143,
21,67.37585099300063,1,MetaBurn Alternating Knee-to-Elbow Mountain Climber,MetaBurn Alternating Knee-to-Elbow Mountain Climber,Strength,2,1,6.286607142857143,
46,90.4342367864083,0,Plank Push-Up,Plank Push-Up,Strength,2,1,6.286607142857143,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout."
35,61.58593221995817,1,Holman Towel Wide Hill Climber,Holman Towel Wide Hill Climber,Strength,2,1,6.286607142857143,
43,52.37154121726165,0,Barbell Side Bend,Barbell Side Bend,Strength,1,0,7.0,
51,71.80312197929302,2,Holman Wounded Bear Crawl,Holman Wounded Bear Crawl,Strength,2,1,6.286607142857143,
27,104.63469952822614,1,Hollow-body abduction,Hollow-body abduction,Strength,2,1,6.286607142857143,"The hollow-body abduction is an isometric core exercise that includes leg abductions for an added challenge to the core and abductors. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout."
53,69.43110208405926,1,Suspended crunch-,Suspended crunch-,Strength,9,1,6.286607142857143,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles."
31,65.4068049856768,2,Holman Elbow Plank Jack to Ninja Knees,Holman Elbow Plank Jack to Ninja Knees,Strength,2,1,6.286607142857143,
48,64.88765490388585,2,Kettlebell Windmill,Kettlebell Windmill,Strength,6,1,7.7,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue."
