Exercise Name,Body Part/Muscle,Equipment,Level,Sets and Reps
Push-Up,Chest,Bodyweight,Easy,3 sets of 10-15
Squat,Quads,Bodyweight,Easy,3 sets of 12-15
Plank,Core,Bodyweight,Easy,3 sets of 30-60 sec
Lunges,Quads,Bodyweight,Easy,3 sets of 10-12 per leg
Mountain Climbers,Core,Bodyweight,Easy,3 sets of 20-30
Tricep Dips,Triceps,Bodyweight,Easy,3 sets of 10-12
Bicycle Crunches,Core,Bodyweight,Easy,3 sets of 15-20
Wall Sit,Quads,Bodyweight,Easy,3 sets of 30-60 sec
Calf Raises,Calves,Bodyweight,Easy,3 sets of 15-20
Glute Bridge,Glutes,Bodyweight,Easy,3 sets of 12-15
Dumbbell Bench Press,Chest,Dumbbells,Intermediate,3 sets of 8-12
Dumbbell Squat,Quads,Dumbbells,Intermediate,3 sets of 10-12
Bent-Over Row,Back,Dumbbells,Intermediate,3 sets of 8-12
Shoulder Press,Shoulders,Dumbbells,Intermediate,3 sets of 8-12
Dumbbell Deadlift,Hamstrings,Dumbbells,Intermediate,3 sets of 10-12
Bicep Curl,Biceps,Dumbbells,Intermediate,3 sets of 10-12
Tricep Extension,Triceps,Dumbbells,Intermediate,3 sets of 10-12
Russian Twist,Core,Dumbbells,Intermediate,3 sets of 15-20
Goblet Squat,Quads,Dumbbells,Intermediate,3 sets of 10-12
Dumbbell Lunge,Quads,Dumbbells,Intermediate,3 sets of 8-12 per leg
Barbell Bench Press,Chest,Barbell,Hard,4 sets of 6-10
Barbell Squat,Quads,Barbell,Hard,4 sets of 6-10
Deadlift,Hamstrings,Barbell,Hard,4 sets of 6-8
Barbell Row,Back,Barbell,Hard,4 sets of 6-10
Overhead Press,Shoulders,Barbell,Hard,4 sets of 6-8
Barbell Curl,Biceps,Barbell,Intermediate,3 sets of 8-12
Barbell Hip Thrust,Glutes,Barbell,Intermediate,3 sets of 10-12
Pull-Up,Back,Pull-Up Bar,Intermediate,3 sets of 6-10
Chin-Up,Biceps,Pull-Up Bar,Intermediate,3 sets of 6-10
Hanging Leg Raise,Core,Pull-Up Bar,Intermediate,3 sets of 12-15
Kettlebell Swing,Glutes,Kettlebell,Intermediate,3 sets of 15-20
Kettlebell Goblet Squat,Quads,Kettlebell,Intermediate,3 sets of 10-12
Kettlebell Snatch,Full Body,Kettlebell,Hard,4 sets of 8-12
Kettlebell Clean,Full Body,Kettlebell,Hard,4 sets of 8-12
Burpee,Full Body,Bodyweight,Intermediate,3 sets of 10-15
Jump Squat,Quads,Bodyweight,Intermediate,3 sets of 12-15
Box Jump,Quads,Box,Intermediate,3 sets of 10-12
Incline Push-Up,Chest,Bodyweight,Easy,3 sets of 10-15
Side Plank,Core,Bodyweight,Easy,3 sets of 30-45 sec per side
Step-Up,Quads,Step/Bench,Intermediate,3 sets of 10-12 per leg
Lat Pulldown,Back,Lat Pulldown Machine,Intermediate,3 sets of 8-12
